Ticker;Valor;Yield Inflação +;Spread CDI+;Referência
KNCR11;96,50;;3,78;08/02
KNCR11;97,50;;3,50;08/02
KNIP11;86,00;10,32;;08/02
KNIP11;87,00;10,08;;08/02
KNHY11;90,50;12,86;;08/02
KNHY11;91,50;12,61;;08/02
KNSC11;82,00;10,52;;08/02
KNSC11;83,00;10,24;;08/02
KCRE11;85,50;11,31;;08/02
KCRE11;86,50;11,11;;08/02
KNCA11;103,00;;5,04;08/02
KNCA11;104,00;;4,58;08/02
VGIP11;82,00;9,46;;23/1
VGIP11;84,00;9,23;;23/1
RBRR11;82,00;10,65;;26/1
RBRR11;84,00;10,11;;26/1
RPRI11;93,50;13,27;6,49;9/2
RPRI11;95,00;12,61;5,87;9/2
XPCI11;80,00;9,05;7,48;16/1
XPCI11;82,00;8,64;6,69;16/1
HREC11;79,00;10,98;;6/1
HREC11;80,00;10,76;;6/1
HSAF11;79,00;10,90;;7/2
HSAF11;78,00;10,60;;7/2
RECR11;87,00;9,19;;7/2
RECR11;86,00;9,36;;7/2
VCJR11;88,00;12,50;;6/2
VCJR11;89,00;12,30;;6/2
CPTS11;77,05;10,49;;27/1
CPTS11;77,80;10,32;;27/1
WHGR11;7,92;16,05;5,52;13/1
WHGR11;8,07;15,48;5,39;13/1
BTCI11;8,90;12,80;4,10;19/1
BTCI11;8,80;13,00;4,20;19/1